N,TA_pan,TA_dis,TA_hs,TA_sz,TA_lita,best,best_method
1,,,,,,,
2,10,26,48,46,,10,TA_pan
3,,66,,,,66,TA_dis
4,62,100,133,130,,62,TA_pan
5,,188,,,,188,TA_dis
6,180,238,280,276,,180,TA_pan
7,,390,,,,390,TA_dis
8,388,456,505,500,,388,TA_pan
9,,688,,,,688,TA_dis
10,710,770,824,818,,710,TA_pan
11,,1098,,,,1098,TA_dis
12,1170,1196,1253,1246,,1170,TA_pan
13,,1636,,,,1636,TA_dis
14,1792,1750,1808,1800,,1750,TA_dis
15,,2318,,,,2318,TA_dis
16,2600,2448,,,,2448,TA_dis
17,,3160,,,,3160,TA_dis
18,3618,3306,3360,3350,,3306,TA_dis
19,,4178,,,4016,4016,TA_lita
20,4870,4340,4389,4378,4367,4340,TA_dis
21,,5388,,,5198,5198,TA_lita
22,6380,5566,5608,5596,5584,5566,TA_dis
23,,6806,,,6586,6586,TA_lita
24,8172,7000,7033,7020,7007,7000,TA_dis
25,,8448,,,8196,8196,TA_lita
26,10270,8658,8680,8666,8652,8652,TA_lita
27,,10330,,,10045,10045,TA_lita
28,12698,10556,10565,10550,10535,10535,TA_lita
29,,12468,,,12147,12147,TA_lita
30,15480,12710,12704,12688,12672,12672,TA_lita
31,,14878,,,14519,14519,TA_lita
32,18640,15136,15113,15096,15079,15079,TA_lita
33,,17576,,,17177,17177,TA_lita
34,22202,17850,17808,17790,17772,17772,TA_lita
35,,20578,,,20138,20138,TA_lita
36,26190,20868,20805,20786,20767,20767,TA_lita
37,,23900,,,23416,23416,TA_lita
38,30628,24206,24120,24100,24080,24080,TA_lita
39,,27558,,,27028,27028,TA_lita
40,35540,27880,27769,27748,27727,27727,TA_lita
41,,31568,,,30990,30990,TA_lita
42,40950,31906,31768,31746,31724,31724,TA_lita
43,,35946,,,35319,35319,TA_lita
44,46882,36300,36133,36110,36087,36087,TA_lita
45,,40708,,,40029,40029,TA_lita
46,53360,41078,40880,40856,40832,40832,TA_lita
47,,45870,,,45137,45137,TA_lita
48,60408,46256,46025,46000,45975,45975,TA_lita
49,,51448,,,50659,50659,TA_lita
50,68050,51850,51584,51558,51532,51532,TA_lita
51,,57458,,,56612,56612,TA_lita
52,76310,57876,57573,57546,57519,57519,TA_lita
53,,63916,,,63010,63010,TA_lita
54,85212,64350,64008,63980,63952,63952,TA_lita
55,,70838,,,69870,69870,TA_lita
56,94780,71288,70905,70876,70847,70847,TA_lita
57,,78240,,,77208,77208,TA_lita
58,105038,78706,78280,78250,78220,78220,TA_lita
59,,86138,,,85041,85041,TA_lita
60,116010,86620,86149,86118,86087,86087,TA_lita
61,,94548,,,93383,93383,TA_lita
62,127720,95046,94528,94496,94464,94464,TA_lita
63,,103486,,,102251,102251,TA_lita
64,140192,104000,103433,103400,103367,103367,TA_lita
